,,,,,,,,,,,,,,,,,,,,,,,,,(Fair),(Fair Acne),(Light),(Light Acne),(Medium),(Medium Acne),Deep,Deep (Acne),(Dark),(Dark Acne)
,,,,,,,,,,,,,,,,,,,,,,,,,Fair,Fair Acne,Light,Light Acne,Medium ,Medium Acne,Deep,Deep Acne,Dark,Dark Acne
,,,,,,,,,,,,,,,,,,,,,,,,No makeup makeup,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Nude & Natural,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Fresh & Dewy Glam,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Showstopper,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sultry Smokey,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vintage Glamour,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Soft Romantic,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Bright & Bold,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Festival Looks,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Insta-Glam,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
